http://www.amazon.com/Flexible-Changing-Waterproof-Accessories-Included/dp/B00M3Z747M,"LE® 110-120 V AC 164ft Flexible LED Strip Lights, RGB, 3000 Units 5050 SMD LEDs, Color Changing, Waterproof IP65, Accessories Included, LED Tape, LED Rope Lights, Pack of 164ft/50m",$155.85," Colour : Multi-colored
 Size of LEDs: 5050 (5.0mm*5.0mm)
 Length per roll: 50m
 LED Quantity: 60/m (total 3000 per roll)
 Working Voltage: 110-120 V AC","Color : 12 fixed color, 4 changing modes. 
Remote controlswitch on/off, adjust the brightness, change color, adjust the speed by the remote controller. 

Working Voltage: 110-120 V AC 

Waterproof:  Yes, IP 67. Can be used in outdoor. 

Super bright. 60 units 5050 SMD LEDs per meter, the brightness of 5050 LEDs is 3 times as 3528 version. 

Easy Installation. Plug and play without wiring. 

Flexible. Slim, compact and flexible PCB strip. Applicable for bendable or angled patterns, or in continuous rows. 

Cuttable and linkable.  It can be cut in every1.64ft/0.5m along the cutting marks, without damaging the rest strips. 

Components Saving.  Can be directly connected into main supply, no power adapter, transformer or driver is required. 2 power plugs and lots of mounting buckles are included. 

High Voltage. Low voltage drop. More little light attenuation, well-distribute lighting in the whole 50 m strips. 

Reduce re-lamp frequency.  Lifespan is over 50000 hrs. Save effort and labour costs on changing lights frequently. 

Widely applicable. Not only be cut in sections, but also can run in max 25 meters with only one power plug. It is convenient and cost-saving for large outdoor projects. 

Eco-Friendly. No lead or mercury 

Note: Please don't plug the strip without unrolling it. 

About LE 
 Lighting EVER, abbreviated to LE, focuses on creating the best lighting experience. 
 Only high end LED and advanced optical design are adopted. Enjoy lighting with LE."
http://www.amazon.com/OxyLED-T-01-Stick--Anywhere-4-LED/dp/B00GD8OKY0,OxyLED T-01 DIY Stick-on Anywhere 4-LED Touch Tap Push Light,$7.99," Touch Operated Battery Cupboard Light, The inner light tube can rotate 180 degrees.
 Detachable Back With 3M Sticky Pads, Suitable for Closets,Attics,Garages,Car,Sheds,Storage Room.
 4pcs bright white LED, energy-saving and environment friendly.
 Powered by 3pcs AAA batteries(not included).","OxyLED®- Natural Life, Natural Lights   OxyLED T01 contains 4 bright, white LED to illuminate any dark area in your home. The light panel can be rotated 180 degrees to provide you with the most suitable angle. To switch the device on/off, simply touch the two metal pins located on the front of the LED panel. With 2 self-adhesive sticky tapes found at the back of the panel, no installation is required. Simply stick the light on any flat surface and save yourself the electrician costs of wiring a light bulb.With each use of 3 x AAA batteries (not included), this 4 bright white LED has a life of up to 100 hours, before it needs to be changed.   Specifications:  - Tilt Function (180 degrees)  - 6.89inch Length, 1.77inch Width  - Touch Operated Battery Cupboard Light  - 4pcs bright white LED  - Powered by 3pcs AAA batteries(not include)  - Detachable Back With 3M Sticky Pads  - Energy-saving and environment friendly   Package Content:   -1 x Oxyled T01 stick-on LED light  -2 x 3M self-adhesive sticky tapes  -1 x Warranty Card   Warranty:30-Day Money Back Guarantee;12 Month Replacement Warranty; Lifetime Support Guarantee"
http://www.amazon.com/AUDEW-Waterproof-16-4ft-Lights-Flexible/dp/B00W8ULUTU,AUDEW Waterproof 16.4ft 3528 SMD 600 LED Lights Flexible Strip Light DC 12V Pure White,$11.88," High Quality 3528 SMD 300 LED's, 5M/16.4 ft, high intensity and reliability, Long lifespan,
 Output power:42W / 5 Meter
 Low power consumption,Super-bright but running with low temperature.
 The Strip is flexible and can be bent at any angle, Eco Friendly, High Quality 3528 SMD LED, high intensity and reliability,
 Self-adhesive back with Adhesive tape for secure and easy application.","Specifications: 
 LED Type: 3528 SMD 
 LED quantity: 600 LED / 5 Meter 
 Waterproof IP65 
 Operating voltage: DC 12V 
 Output power:42W / 5 Meter 
 Viewing Angle: 120 ¡ã 
 Operating temperature: -20 to 50 ¡ã 

 Applications: 
 1. Extensively applied in Backlighting for signage letters, concealed lighting and advertisement sign lighting Easy to install and operation. 
 2. Applicable for automobile decoration, contour lighting or border 
 3. Light up colorful home life ,DIY household lights for hallways, stairs, trails ,windows. 
 4. Light up colorful life hotels decoration use,Theaters, clubs, shopping malls, festivals and performances 
 5. Architectural decorative lighting,Archway, canopy and bridge edge lighting, Security lighting and Emergency 

 Package Included: 
 1X 600SMD 3528 5M LED Strip"
http://www.amazon.com/Shipping-Waterproof-Lights-Flexible-Strips/dp/B014A9F3XA,Free Shipping 2pcs/lot 30cm 15 SMD White Waterproof Lights High Power Car Auto Decor Flexible LED Strips,$12.50," Color:  White
 Material: LED
 Car Model: A4,A6,Accent,Accord,Astra,Asx,Camry,Civic,Corolla,Cruze,E39,E46,Elantra,Focus,Forester,Honda CRV,Impreza,K2,Mazda 3,Mazda 6,Octavia,Qashqai,Rio,Swift
 Luminous Flux: 144 Lumens/30cm(11.8"")
 Package: 2x LED Strip (5050 White 12-leds 30cm(11.8""))","Water-proof flexible LED strip Self-adhesive back with 3M double side adhesive tape Continuous length, packed with 30cm meter long"
http://www.amazon.com/Waterproof-Flexible-Multi-colored-Controller-Adhesive/dp/B00CE5816O,"LE® Waterproof 12V 16.4ft/5m Flexible RGB LED Strip Light Kit, Multi-colored, 150 Units 5050 LEDs, LED Strip Kit with 44-key IR Controller + 12V 2A Power Supply, IP65, Adhesive Light Strips",$19.88," The input voltage is 110v
 The ouput voltage is 12v
 Waterproof. IP65. Please note: only LED strips are waterproof. Remote controller, power adaptor and connectors are non-waterproof.
 Cuttable and linkable. Easy to cut and use with Lighting EVER accessory (included)","All Kits are ready to use. RGB LED strips, remote controller, power adaptor and connectors are included. No more accessories are required. 

Easy Installation. Plug and play without wiring. 

Ultimate customized mode.16 colors with 6 DIY keys - 44 keys infrared controller which has 6 DIY keys for momorizing the colors that you preferred. 

8 Light Pattern: Quick / Slow / Auto / Flash / 7 color fade change / 3 color fade change / 7 color jumpy change / 3 color jumpy change R / G / B increase and decrease control 

Well-distributed lighting. LED components are uniformly lined up. no flickering and dead lights in the strip even after a long time. 

Cuttable and linkable. Easy to cut and use with Lighting EVER accessory (included). Can be cut every 3 LEDs along the cutting marks, without damaging the rest strips. 

Flexible operations. Slim, compact and flexible PCB strip. Mount end-to-end for bendable or angled patterns, or in continuous rows. 

Waterproof. IP65. Can be used in outdoor applications. (Please note: only LED strips are waterproof. Remote controller, power adapter and connectors are non-waterproof.) 

Safe to use. The working voltage is 12V. extremely low heat. It is touchable and safe to children. 

Application:Widely used for home, automobile, bicycle, hotels, clubs, shopping mails and architectural decoration 
 emergency & security and ad sign lighting, decorative lights for holiday, event, show exhibition. 

About LE 
 Lighting EVER, abbreviated to LE, focuses on creating the best lighting experience. 
 Only high end LED and advanced optical design are adopted. Enjoy lighting with LE."
http://www.amazon.com/Lighting-Flexible-Controller-Christmas-Decorative/dp/B00V27VX7E,Led Strips Lighting Rxment® 5M 16.4 Ft 5050 RGB 150LEDs Flexible Color Changing Full Kit with 44 Keys Remote Controller + Control Box + 12V 2A Power Supply for Home & Kitchen and Christmas Decorative,$18.99," 100% RXMENT ORIGINAL 5050 TYPE - Designed by Rxment professional LED team. Higher quality and brightness than 3528 SMD!
 RICH COLOR - Not only RGB(Red,Green,Blue),16 multi-colored options, but also has DIY selection to create your own color
 EXPENSIVE MATERIALS - We go above and beyond when it comes to material selection. We insist on using double layer copper. Although this will cause higher costs while most LED strips in the market only use single layer copper
 BUY 5 SAVE 5% - We love our customers and want them to love us too. If you buy 5 or more of our Rxment led strips you can immediately save 5% at checkout (no coupon necessary). good choice as a gift!
 EASY INSTALLATION & LONGEVITY - This led strips can be cut between every 3 leds, self-adhesive tape backing can be fit many dry flat surface. Reduce re-lamp frequency. Lifespan is over 50000 hrs. Save effort and maintenance costs on changing","Application: 

 Widely used for home decoration, hotels, clubs, shopping mall 
 Architectural decorative lighting, boutique atmosphere lighting 
 Extensively applied in Back Lighting, concealed lighting, channel letter lighting 
 Emergency & security lighting, advertisement sign lighting 
 Decorative lights for holiday, event, show exhibition 
 Applicable for automobile and bicycle decoration, border or contour lighting 


Description: 

 LED Type: 5050 SMD LED RGB, Non-waterproof 
 Length: 16.4FT (5 Meter) 
 LED Quantity: 150LEDs / 16.4FT 
 Beam angle: 120 degrees 
 Input voltage: 12V DC 
 Output power: 24W /5 Meter 
 Working Tempreture:-20℃ to 50℃ 
 Size: L 16.4ft x W 0.40inch x T 0.10inch 
 Can be cut 3 LEDs per Unit 
 Power Supply: Input:AC110-240V; Output: DC 12V/2A 


Package Contents: 

 1 x 5m 150 LEDs Strip 
 1 x Remote Controller 
 1 x IR Control Box 
 1 x 12V,2A Power Supply 
 1 x Controller Operation Instructions"
http://www.amazon.com/SUPERNIGHT-Waterproof-300LEDs-Changing-Flexible/dp/B00JP3YD4W,SUPERNIGHT 16.4FT 5M SMD 5050 Waterproof 300LEDs RGBW Color Changing Flexible LED Strip Light,$13.99," LED type: 5050 SMD RGB and cool white Mixed Color LEDs
 LED Color: RGB + Cool White multi mixed color
 LED Qty: 150 RGB LEDs+ 150 Cool white LEDs
 Working Voltage: DC 12V
 Use for Architectural Lighting, Bar, Club Lighting, Theater, Store or Restaurant, Home DIY lighting","SUPERNIGHT 16.4FT 5M SMD 5050 Waterproof 300LEDs RGBW Color Changing Flexible LED Strip Light

Have you ever been complained about impurity white color in your RGB strip light? 
 Our RGBW strip light is your final answer! 
 RGB + W strips are an evolution of the RGB stripes. In this new model, an RGB LED and a white LED is fitted alternately, it combines the best of both worlds, the variety of colors of RGB LEDs with the purity of the monochromatic LEDs. This allows you, by mixing those colors to create pastel shades, this expands the color selection enormously. 
 The various LED chips can be controlled separately for white light or different colors to illuminate the chosen installation location always perfect and according to the situation. 
 The color white, can be generated by the RGB LEDs inadequate. For this reason, RGB + W strips were designed. 



Specifications:
 1. Color: RGB+White 
 2. LED Quantity: 60LEDs/m, 300LEDs/roll(150pcs RGB LED and 150pcs White LED) 
 3. View angle: 120° 
 4. Voltage: 12V DC 
 5. Current: 5A/roll 
 6. Power: 60W /roll 
 7. Strip width: 10mm PCB Board 
 8. Working Temperature:-20 to 50° 
 9. Waterproof IP65 


Package: 

 1PC * 5050 Waterproof RGBW LED strip"
http://www.amazon.com/Warm-White-SMD3528-Light-Strip/dp/B00713R2ZK,"Warm White SMD3528 LED Tape Light Strip Kit - 300 LEDs, 16.4 Ft / 5 Meter Roll, 24 Watt Power Adapter/Dimmer - 3000K, 72 Lumens per foot",$19.99," 16.4 Ft (5 Meter) Roll can be cut every three LEDs (Two Inches)
 Compatible with all 3528 LED style connectors, extensions and accessories
 72 Lumens per Foot, rated IP-30 (Indoor), Includes 2 Year Warranty
 Backed with 3M adhesive tape for easy and simple installation","The HitLights Easy-Plug Kit is designed to offer you an easy way to establish ambiance with our Warm White LED light strips. This kit incorporates flexible, indoor strips with an IP rating of IP-30. This means that they can be used for applications or areas where the strips will not be in contact with moisture, and offer a perfect solution for many indoor projects including cabinet lights, stair lighting, media lighting, living areas, etc. Our strips can be cut after every 3rd LED, and have 3M adhesive backing. S be cut to custom lengths, and mounting the entire light spool is extremely easy! This 12-volt,  LED light is safe to touch. The strip does not emit any UV or infrared light, and lasts up to 50,000 hours. The HitLights Warm White Easy-Plug Kit is simple to install, and adds a highlight effect to nearly any area in the home! The strip runs on only 1.5 Watts per foot, which is great for the environment and your electric bill! It also has a lifespan of over 50,000 hours, equating to over 10 years of using the lights 8 hours/day! This Easy-Plug kit also includes a dial dimmer and a 24 watt power adapter, so you have everything required to simply plug and play! The dial dimmer can bring the brightness to any level to suit your project’s special needs! Product Components:  •1 x 16.4 Foot roll of 3528 LED strip light • 1 x Dial Dimmer • 1 x 24 Watt Power AdapterHitLights is an American owned and operated company and has been selling LED products on Amazon for five years, and is the first Amazon Certified Brand to be UL Safety Approved. We are committed to being the best LED and strip light solution provider on Amazon."
http://www.amazon.com/Lvjing%C2%AE-Flexible-5050smd-Greenhouse-Hydroponic/dp/B00UR7FZYW,[Pack of 5] Lvjing® 2015 New 0.5m/strip 5W Led Grow Light Bar Flexible Soft Strip Light 30pcs 5050smd 25Red + 5Blue DC 12V for Indoor Plants Garden Greenhouse Hydroponic System Kit,$19.71," Lvjing 2015 new designed soft and flexible grow light bar, Pack of 5, 0.5M/strip, 5W/strip;
 Compare to the old generation, this one is made of soft light bar, can be installed in anywhere with any shape;
 Wavelength band range: blue light of 445nm / red light of 660nm;
 Add light to plants, stipulate their photosynthesis; help plants absorb nutrients, especially some trace elements; shorten the growth cycle; prevent the rampant growth of plants;
 Attention: power supply or plug is NOT included, any 12V power supply or adapter is suitable. (Please contact us if you have any problems)","Specification: 
 Item type: soft grow light bar 
 Size: 0.5M per strip 
 Product weight: 75g/strip 
 Wattage: 5W/strip 
 Number of LED: 30 leds 
 Rated Hours: 20,000 
 Wavelength : Red 660nm;Blue 445nm 
 Illumination angle: 180 degrees 
 Body temperature: less than 60°C 
 LED working temperature: less than 65°C 
 Voltage: DV 12V 
 Warranty: 1 Year 
 Certification: CCC,CE,FCC, RoHS 
 Application: indoor garden, pot plants, garden, seeding, breeding, farmland, spray plant, greenhouse plants, pipeline cultivation, flowering, etc. 

 How dose the specific wavelength work: 
 * Blue(wavelength: 400nm ~ 520nm): Help plants grow 
 * Red(wavelength: 610nm ~ 720nm): Help plants sprout and flowering , and is the key for flowering plants 
 * IR(wavelength: 730nm): IR can help plants grow; UV(wavelength: 380nm): UV can help plants grow and kill insects. But they are very harmful to human beings, so we kindly suggest you do not use IR or UV in your grow lights, but we can add 1 or 2 pieces if you really need it in a specific situation . 
 * Best lighting time: 8-12hrs 

 Attention: 
 1. The light contains no infrared ray or ultraviolet radiation. 
 2. We can customize LED grow light for you based upon your request."
http://www.amazon.com/SUPERNIGHT-Repeater-Signal-Amplifier-Strip/dp/B00E4JQDKE,"SUPERNIGHT (TM) Data Repeater RGB Signal Amplifier For SMD 3528 5050 LED Strip Light, DC 12V 12A",$6.77," RGB Amplifier is used for all our company RGB LED controller.
 In theory , RGB amplifier can be connected to numerous.
 It can accept PWM signal.
 When adding one RGB amplifier, it can connect to more than double of the number led lights.","SUPERNIGHT (TM) Data Repeater RGB Signal Amplifier For SMD 3528 5050 LED Strip Light, DC 12V 12A

 * Working temperature: -20-60℃ 
 * Supply voltage: DC 12V 
 * 0utput: 3 channels 
 * Connecting mode: common anode/cathode optional (specify the required voltage on orders) 
 * External dimension: L105*W65*H23 mm 
 * Packing size: L117*W71*H36 mm 
 * Net weight: 110g 
 * Gross weight: 140g 
 * Static power consumption: <1W 2. Uses a separate switching power supply for amplifier, the effect is even better. 
 * Lead wire should be connected correctly according to grade that connecting diagram offers. 
 * This product is not to overload."
